epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,79.9624,0.81917,0.67013,1.10864,0.93927,0.875,0.95116,0.69163,0.80914,0.61848,1.11293,0.0012476,0.0012476,0.0012476
21,83.31,0.81203,0.67097,1.09777,0.93683,0.85227,0.94631,0.70172,0.77811,0.65618,1.08159,0.001208,0.001208,0.001208
22,86.6362,0.77343,0.66664,1.09062,0.93872,0.87038,0.95124,0.73286,0.69275,0.64748,1.05024,0.0011684,0.0011684,0.0011684
23,89.9817,0.77232,0.64644,1.08972,0.91446,0.85044,0.94101,0.69623,0.78714,0.60357,1.07598,0.0011288,0.0011288,0.0011288
24,93.3209,0.80699,0.66026,1.09793,0.9469,0.85227,0.94754,0.68263,0.79138,0.6061,1.10616,0.0010892,0.0010892,0.0010892
25,96.6838,0.79699,0.65202,1.1015,0.92741,0.90909,0.95583,0.71928,0.77885,0.59271,1.07669,0.0010496,0.0010496,0.0010496
26,100.152,0.76987,0.63173,1.09234,0.95106,0.90909,0.96502,0.74531,0.70672,0.56862,1.03966,0.00101,0.00101,0.00101
27,103.505,0.74565,0.60872,1.07103,0.89015,0.92079,0.96129,0.74434,0.74954,0.62032,1.07012,0.0009704,0.0009704,0.0009704
28,106.841,0.75575,0.6214,1.07576,0.9174,0.85227,0.95659,0.71519,0.84068,0.59912,1.12008,0.0009308,0.0009308,0.0009308
29,110.183,0.74234,0.60639,1.05825,0.90753,0.90909,0.96297,0.71842,0.75365,0.55588,1.09393,0.0008912,0.0008912,0.0008912
30,113.631,0.74316,0.5775,1.07652,0.9607,0.88636,0.96635,0.74375,0.73473,0.53857,1.08513,0.0008516,0.0008516,0.0008516
31,116.952,0.69766,0.57416,1.04416,0.9062,0.90909,0.95506,0.74541,0.7828,0.57977,1.09731,0.000812,0.000812,0.000812
32,120.301,0.72762,0.62081,1.07179,0.9689,0.89773,0.97557,0.75689,0.77259,0.52613,1.08522,0.0007724,0.0007724,0.0007724
33,123.791,0.68659,0.57351,1.04802,0.93518,0.92045,0.97337,0.7541,0.77574,0.53772,1.07658,0.0007328,0.0007328,0.0007328
34,127.124,0.62793,0.55239,1.0114,0.89206,0.93915,0.96928,0.77556,0.77245,0.53051,1.06748,0.0006932,0.0006932,0.0006932
35,130.619,0.64856,0.52016,1.01549,0.89547,0.94318,0.96816,0.77501,0.75944,0.53547,1.07196,0.0006536,0.0006536,0.0006536
36,133.982,0.63414,0.51509,1.01923,0.91296,0.95352,0.97534,0.7866,0.74961,0.53781,1.06519,0.000614,0.000614,0.000614
37,137.478,0.6374,0.54577,1.02425,0.91165,0.93811,0.97019,0.77018,0.90889,0.59004,1.1323,0.0005744,0.0005744,0.0005744
38,140.85,0.67912,0.5459,1.04954,0.87969,0.96591,0.97567,0.767,0.96418,0.54094,1.24042,0.0005348,0.0005348,0.0005348
39,144.194,0.6657,0.54869,1.03487,0.89175,0.93614,0.96941,0.78849,0.92356,0.52982,1.22838,0.0004952,0.0004952,0.0004952
40,147.686,0.59313,0.49259,0.99377,0.91969,0.92045,0.96979,0.80488,0.75823,0.60009,1.09301,0.0004556,0.0004556,0.0004556
41,151.715,0.47461,0.40943,0.90149,0.95252,0.91183,0.98071,0.81443,0.59071,0.44619,0.98773,0.000416,0.000416,0.000416
42,155.203,0.48861,0.38336,0.92357,0.95181,0.89787,0.98091,0.82154,0.57093,0.4607,0.96828,0.0003764,0.0003764,0.0003764
43,158.718,0.4295,0.37916,0.88462,0.97357,0.92045,0.98214,0.82551,0.56374,0.46896,0.95408,0.0003368,0.0003368,0.0003368
44,162.204,0.44514,0.37605,0.92044,0.96475,0.93296,0.98298,0.81284,0.59549,0.49048,0.96569,0.0002972,0.0002972,0.0002972
45,165.549,0.41242,0.35573,0.8681,0.93268,0.94466,0.97695,0.80858,0.5891,0.50774,0.96496,0.0002576,0.0002576,0.0002576
46,169.065,0.41698,0.35563,0.89879,0.89492,0.97727,0.97273,0.80629,0.5984,0.47286,0.97088,0.000218,0.000218,0.000218
47,172.409,0.41816,0.35901,0.89761,0.90188,0.94009,0.97093,0.8116,0.58458,0.4761,0.97322,0.0001784,0.0001784,0.0001784
48,175.757,0.39374,0.33736,0.87868,0.90313,0.95355,0.97577,0.80763,0.57334,0.4464,0.97208,0.0001388,0.0001388,0.0001388
49,179.076,0.39573,0.33285,0.88316,0.88469,0.95904,0.97532,0.81,0.57054,0.4609,0.97106,9.92e-05,9.92e-05,9.92e-05
50,182.399,0.40932,0.34301,0.89658,0.88115,0.96591,0.97796,0.81085,0.57431,0.46019,0.96967,5.96e-05,5.96e-05,5.96e-05
